2023-11-16 01:23:28.788 | AddScans | Value(s) -> 50001
2023-11-16 01:24:36.737 | AddScans | Value(s) -> 50001
2023-11-16 01:25:15.955 | LogError | Value(s) -> 50001
2023-11-16 01:27:10.734 | AddScans | Value(s) -> 50001
2023-11-16 01:28:15.542 | AddScans | Value(s) -> 50001
2023-11-16 01:28:51.173 | AddScans | Value(s) -> 50001
2023-11-16 01:39:23.065 | AddScans | Value(s) -> 50001
2023-11-16 01:40:08.357 | SetPixelBoxcarWidth | Value(s) -> 65535
2023-11-16 01:41:15.541 | SetPixelBoxcarWidth | Value(s) -> 16
2023-11-16 01:41:34.351 | SetPixelBoxcarWidth | Value(s) -> 16
2023-11-16 04:37:22.329 | SetPixelMode | Value(s) -> Parameter 1 not valid : 65535
2023-11-16 04:38:07.476 | SetPixelMode | Value(s) -> Parameter 1 not valid : 1
2023-11-16 04:38:23.976 | SetPixelMode | Value(s) -> Parameter 1 not valid : 65535
2023-11-16 04:39:01.589 | SetPixelMode | Value(s) -> Parameter 1 not valid : -1
2023-11-16 04:39:32.621 | SetPixelMode | Value(s) -> Parameter 1 not valid : -1
2023-11-16 04:40:22.938 | SetPixelMode | Value(s) -> This case is not supported in this API
2023-11-16 04:40:42.244 | SetPixelMode | Value(s) -> Case 4 is not supported in this API
2023-11-16 04:41:01.410 | SetPixelMode | Case 4 is not supported in this API
2023-11-16 04:42:39.662 | SetPixelMode | Case 4 is not supported in this API
2023-11-16 04:42:42.146 | SetPixelMode | Case 2 stated N/A (test)
2023-11-16 04:54:38.138 | SetPixelMode | Invalid parameter for case 3
1700128668495 | SetBaudRate | 9
1700128772442 | SetBaudRate | 9
1700128772828 | SetBaudRate | 9
1700128773083 | SetBaudRate | 9
1700128773297 | SetBaudRate | 9 
1700128773510 | SetBaudRate | 9
1700128773657 | SetBaudRate | 9
1700128774008 | SetBaudRate | 9
1700128774178 | SetBaudRate | 9
1700128774343 | SetBaudRate | 9
1700128774559 | SetBaudRate | 9
1700128774749 | SetBaudRate | 9
1700128774897 | SetBaudRate | 9
1700187230707 | SetBaudRate | 9
1700193625168 | SetTriggerMode | Invalid value : 5
1700193750177 | SetTriggerMode | Invalid value : 5
1700193753681 | SetTriggerMode | Invalid value : 5
1700195521147 | GetVariableInformation | not valid
1700195654820 | GetVariableInformation | not valid
1700195674737 | GetVariableInformation | not valid
1700195679067 | GetVariableInformation | not valid
1700195679955 | GetVariableInformation | not valid
1700195681601 | GetVariableInformation | not valid
1700195823184 | GetVariableInformation | 
1700195855514 | GetVariableInformation | Invalid char passed : 99
1700197903508 | GetVariableInformation | Invalid char passed : 99
1700197906671 | GetVariableInformation | Invalid char passed : 99
1700198119696 | GetVariableInformation | Invalid char passed : 99
1700198232829 | GetVariableInformation | Invalid char passed : c
1700330034698 | ./src/tx.cpp | SetPixelBoxcarWidth | 16
1700330034699 | ./src/tx.cpp | SetBaudRate | 9
1700330034701 | ./src/tx.cpp | GetVariableInformation | Invalid char passed : c
